recordId,source,labelQuality,labelStrength,sourceRecordId,adLibraryId,metaAdId,advertiserId,advertiserName,campaignId,adsetId,platforms,platformPositions,country,geoScope,measurementScope,measurementStart,measurementEnd,startDate,endDate,activeDays,creativeType,ctaType,landingDomain,landingUrl,adText,headline,description,reachLow,reachHigh,reach,impressionsLow,impressionsHigh,impressions,frequency,weakFrequencyLow,weakFrequencyHigh,spend,spendLow,spendHigh,spendCurrency,isLabelAligned,alignmentNotes,qualityFlags,retrievedAt
public-meta-203900972241495-NL-2023-03-06-2023-03-16,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,203900972241495,203900972241495,,406548067183,Provincie Noord-Brabant,,,"[""INSTAGRAM""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2023-03-06,2023-03-16,2023-03-06,2023-03-16,11,VIDEO,LEARN_MORE,verkiezingen.brabant.nl,https://verkiezingen.brabant.nl/,"𝗝𝗼𝘂𝘄 𝘀𝘁𝗲𝗺 𝘁𝗲𝗹𝘁! ✏️
Jouw stem heeft invloed op de keuzes die de provincie maakt over tal van thema’s, zoals energie. Stem ook op 15 maart!
 
👉 Kijk op brabant.nl/verkiezingen of check de link in de bio!

#brabantkiest #provincialestatenverkiezingen #PS2023 #verkiezingen",,,500000,1000000,,900000,1000000,,,0.9,2,,1500,2000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.502Z
public-meta-341501428958729-NL-2024-06-03-2024-06-07,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,341501428958729,341501428958729,,338750440106782,BBB BoerBurgerBeweging,,,"[""FACEBOOK"",""INSTAGRAM""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2024-06-03,2024-06-07,2024-06-03,2024-06-07,5,VIDEO,LEARN_MORE,video.boerburgerbeweging.nl,https://video.boerburgerbeweging.nl/v/utlpL/,"Er staat veel op het spel deze Europese verkiezingen! Wil je meer weten over de BBB-standpunten rond voedselzekerheid, regeldruk of betaalbare energie? Vraag je gepersonaliseerde video aan!  👇🏻

https://video.boerburgerbeweging.nl/v/utlpL/",Er staat veel op het spel!,,1000000,,,800000,900000,,,,0.9,,4000,4500,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.503Z
public-meta-3455144268096156-NL-2023-02-12-2023-02-23,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,3455144268096156,3455144268096156,,280080392065179,Waterschap De Dommel,,,"[""FACEBOOK""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2023-02-12,2023-02-23,2023-02-12,2023-02-23,12,UNKNOWN,LEARN_MORE,dommel.nl,http://www.dommel.nl/verkiezingen?utm_source=facebook&utm_medium=social&utm_campaign=paid,{{product.brand}},{{product.name}},{{product.description}},100000,500000,,900000,1000000,,,1.8,10,,5000,6000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.503Z
public-meta-497702434565875-NL-2021-03-04-2021-03-17,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,497702434565875,497702434565875,,147006749798,Ben & Jerry's,,,"[""FACEBOOK"",""INSTAGRAM""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2021-03-04,2021-03-17,2021-03-04,2021-03-17,14,IMAGE,LEARN_MORE,unilever.demdex.net,https://unilever.demdex.net/event?d_event=click&c_country=NL&d_bu=152695&c_medium=social&c_source=facebook-instagram&c_brandcode=BF0093&c_category=CF1954&c_campaignname=L-055136-sos-moria&c_segment=broad&c_creativedescription=animated-linkad&c_tactics=prospecting&c_advertisinglevel=awareness&gdpr=%24%7BGDPR%7D&gdpr_consent=%24%7BGDPR_CONSENT_565%7D&d_rd=https%3A%2F%2Fwww.degoedezaak.org%2Fik-beloof%2F%3Futm_medium%3Dsocial%26utm_source%3Dfacebook-instagram%26utm_campaign%3DL-055136-sos-moria%26utm_term%3Dbroad,Human Rights zijn Refugee Rights! De realiteit is dat door de pandemie vluchtelingen het moeilijker dan ooit hebben. Lees waarom NU het moment is om actie te ondernemen. Act Now en steun SOSMoria.,Ben & Jerry's,,500000,1000000,,800000,900000,,,0.8,1.8,,2500,3000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.503Z
public-meta-2798490800287415-NL-2023-03-07-2023-03-16,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,2798490800287415,2798490800287415,,406548067183,Provincie Noord-Brabant,,,"[""INSTAGRAM""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2023-03-07,2023-03-16,2023-03-07,2023-03-16,10,VIDEO,LEARN_MORE,verkiezingen.brabant.nl,https://verkiezingen.brabant.nl/,"𝗥𝘂𝗶𝗺𝘁𝗲 𝗶𝗻 𝗕𝗿𝗮𝗯𝗮𝗻𝘁: 𝘄𝗮𝘁 𝗸𝗼𝗺𝘁 𝘄𝗮𝗮𝗿?
Onze beperkte ruimte kun je maar 1 keer indelen. Dus staat de provincie voor keuzes. Wat kies jij?

👉 Kijk op brabant.nl/verkiezingen of check de link in onze bio!

#brabantkiest #15maart #verkiezingen",,,500000,1000000,,800000,900000,,,0.8,1.8,,1500,2000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.503Z
public-meta-264813528483525-NL-2021-03-15-2021-03-17,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,264813528483525,264813528483525,,102287806490622,Partij voor de Dieren,,,"[""FACEBOOK"",""INSTAGRAM""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2021-03-15,2021-03-17,2021-03-15,2021-03-17,3,IMAGE,LEARN_MORE,partijvoordedieren.nl,https://www.partijvoordedieren.nl/zweefvliegchecker,"Zweef jij nog tussen de beloften van partijen? Kijk dan op onze Zweefvliegchecker via de link in bio! 🐝 De beste test is stemgedrag, dus we hebben voor je uitgezocht hoe andere groene en progressieve partijen de afgelopen 4 jaar hebben gestemd over onderwerpen die voor ons belangrijk zijn, en wat de verschillen zijn! 💪

Je hebt deze verkiezingen de kans van je leven om een zo groen mogelijk beleid veilig te stellen. Met een grote en standvastige Partij voor de Dieren in het parlement. Samen kunnen we de historische doorbraak realiseren die nu letterlijk van levensbelang is! 💚

Ken jij zwevende zweefvliegen die nog niet weten wat ze gaan stemmen? Stuur ze de Zweefvliegchecker door!

#TK2021 #PvdD #groenlinks #d66 #sp #pvda","De Zweefvliegchecker - Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA - Partij voor de Dieren","Voor wie zweeft tussen PvdD en GroenLinks, D66, SP of PvdA",500000,1000000,,900000,1000000,,,0.9,2,,10000,15000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.503Z
public-meta-26206378905628117-NL-2024-05-02-2024-06-07,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,26206378905628117,26206378905628117,,433611050005553,SGP,,,"[""FACEBOOK"",""INSTAGRAM""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2024-05-02,2024-06-07,2024-05-02,2024-06-07,37,IMAGE,LEARN_MORE,sgp.nl,https://sgp.nl/verkiezingen,{{product.brand}},{{product.name}},{{product.description}},1000000,,,800000,900000,,,,0.9,,1500,2000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.503Z
public-meta-653718459854304-NL-2023-03-14-2023-03-16,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,653718459854304,653718459854304,,128393027527,SP,,,"[""FACEBOOK"",""INSTAGRAM""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2023-03-14,2023-03-16,2023-03-14,2023-03-16,3,UNKNOWN,LEARN_MORE,verkiezingen.sp.nl,https://verkiezingen.sp.nl/?fblaatseoproep,{{product.brand}},{{product.name}},{{product.description}},1000000,,,900000,1000000,,,,1,,4500,5000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.503Z
public-meta-1491038668134187-NL-2023-11-16-2023-11-20,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,1491038668134187,1491038668134187,,159449970751999,Save the Children Nederland,,,"[""FACEBOOK"",""INSTAGRAM""]",[],NL,EU_NL,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2023-11-16,2023-11-20,2023-11-16,2023-11-20,5,IMAGE,LEARN_MORE,actie.savethechildren.nl,https://actie.savethechildren.nl/verkiezingen2023/?utm_source=instagram&utm_medium=cpc&utm_campaign=see-sb18-24-verkiezingen-static&utm_content=,{{product.brand}},{{product.name}},{{product.description}},1000000,,,800000,900000,,,,0.9,,2500,3000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&search_type=keyword_unordered&media_type=all&q=verkiezingen""}",2026-08-10T11:40:46.503Z
public-meta-1012432769508981-DE-2021-08-25-2021-09-09,PUBLIC_META_AD_LIBRARY,PUBLIC_META_DISCLOSED,WEAK_RANGE,1012432769508981,1012432769508981,,120655374567,ÖDP - Die Naturschutzpartei,,,"[""FACEBOOK"",""INSTAGRAM""]",[],DE,EU_DE,PUBLIC_META_AD_LIBRARY_POLITICAL_AND_ISSUE_ADS,2021-08-25,2021-09-09,2021-08-25,2021-09-09,16,VIDEO,LEARN_MORE,oedp.de,https://www.oedp.de/startseite,"Umwelt-, Tier- und Artenschutz gehören für uns zusammen. Unsere Bundestagskandidatin Emilia Kirner setzt sich, seitdem sie 17 Jahre alt ist, in der ÖDP für Tier- und Artenschutz ein: Einfach, weil ihr unser Planet so sehr am Herzen liegt. 

Wir stehen für konsequenten Tier- und Artenschutz. 

Deshalb: Bei der Bundestagswahl ÖDP wählen!",Entdecke jetzt unser Wahlprogramm 👉,,1000000,,,900000,1000000,,,,1,,1500,2000,EUR,true,"[""Reach and impressions were collected from the same public Meta Ad Library ad row."",""Reach source path: reachEstimate"",""Impressions source path: impressionsWithIndex.impressionsText"",""Impressions are a public range, so the row remains a weak/range label.""]","{""audienceStatus"":""META_DISCLOSED"",""audiencePath"":""reachEstimate"",""impressionsStatus"":""META_DISCLOSED"",""impressionsPath"":""impressionsWithIndex.impressionsText"",""sourceUrl"":""https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=DE&search_type=keyword_unordered&media_type=all&q=partei""}",2026-08-10T12:35:35.599Z
